date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:23:06	19436/19436	---M--	200	added ('OK')	image/jpeg	date:Fri,%2017%20Sep%202021%2021:23:51%20GMT	https://m.media-amazon.com/images/I/913aJKdl3jL._AC_SY200_.jpg	C:/Users/bryan/Downloads/https___www.amazon.com_/m.media-amazon.com/images/I/913aJKdl3jL._AC_SY200_.jpg	(from https://www.amazon.com/)
08:23:08	1303243/1303243	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Oct%202021%2012:23:05%20GMT	https://www.amazon.com/MANU-Atelier-Cylinder-Shoulder-Redbole/dp/B07RR1CTF8/?_encoding=UTF8&pd_rd_w=QVWhN&pf_rd_p=47476175-6275-4746-aaf3-d69468e9907d&pf_rd_r=G7S08RZAY2WK6DF3SG84&pd_rd_r=8ed189e0-ff37-454c-b957-8e52b7f8b5ac&pd_rd_wg=CrqBy&ref_=pd_gw_unk	C:/Users/bryan/Downloads/https___www.amazon.com_/www.amazon.com/MANU-Atelier-Cylinder-Shoulder-Redbole/dp/B07RR1CTF8/index3021.html	(from https://www.amazon.com/)
08:23:11	1399939/1399939	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Oct%202021%2012:23:06%20GMT	https://www.amazon.com/Madewell-Womens-Transport-English-Saddle/dp/B07GC196JV/?_encoding=UTF8&pd_rd_w=QVWhN&pf_rd_p=47476175-6275-4746-aaf3-d69468e9907d&pf_rd_r=G7S08RZAY2WK6DF3SG84&pd_rd_r=8ed189e0-ff37-454c-b957-8e52b7f8b5ac&pd_rd_wg=CrqBy&ref_=pd_gw_unk	C:/Users/bryan/Downloads/https___www.amazon.com_/www.amazon.com/Madewell-Womens-Transport-English-Saddle/dp/B07GC196JV/index3021.html	(from https://www.amazon.com/)
08:23:14	1362251/1362251	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Oct%202021%2012:23:10%20GMT	https://www.amazon.com/MANU-Atelier-Womens-Cylinder-Shoulder/dp/B07MVDTC5G/?_encoding=UTF8&pd_rd_w=QVWhN&pf_rd_p=47476175-6275-4746-aaf3-d69468e9907d&pf_rd_r=G7S08RZAY2WK6DF3SG84&pd_rd_r=8ed189e0-ff37-454c-b957-8e52b7f8b5ac&pd_rd_wg=CrqBy&ref_=pd_gw_unk	C:/Users/bryan/Downloads/https___www.amazon.com_/www.amazon.com/MANU-Atelier-Womens-Cylinder-Shoulder/dp/B07MVDTC5G/index3021.html	(from https://www.amazon.com/)
08:23:17	1334259/1334259	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Oct%202021%2012:23:13%20GMT	https://www.amazon.com/Vasic-Womens-Bond-Mini-Taupe/dp/B07VZWL9N7/?_encoding=UTF8&pd_rd_w=QVWhN&pf_rd_p=47476175-6275-4746-aaf3-d69468e9907d&pf_rd_r=G7S08RZAY2WK6DF3SG84&pd_rd_r=8ed189e0-ff37-454c-b957-8e52b7f8b5ac&pd_rd_wg=CrqBy&ref_=pd_gw_unk	C:/Users/bryan/Downloads/https___www.amazon.com_/www.amazon.com/Vasic-Womens-Bond-Mini-Taupe/dp/B07VZWL9N7/index3021.html	(from https://www.amazon.com/)
08:23:20	1359095/1359095	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Oct%202021%2012:23:13%20GMT	https://www.amazon.com/Elleme-Womens-Vague-Shoulder-Black/dp/B08J4FQMMY/?_encoding=UTF8&pd_rd_w=QVWhN&pf_rd_p=47476175-6275-4746-aaf3-d69468e9907d&pf_rd_r=G7S08RZAY2WK6DF3SG84&pd_rd_r=8ed189e0-ff37-454c-b957-8e52b7f8b5ac&pd_rd_wg=CrqBy&ref_=pd_gw_unk	C:/Users/bryan/Downloads/https___www.amazon.com_/www.amazon.com/Elleme-Womens-Vague-Shoulder-Black/dp/B08J4FQMMY/index3021.html	(from https://www.amazon.com/)
08:23:23	1372443/1372443	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Oct%202021%2012:23:16%20GMT	https://www.amazon.com/Loeffler-Randall-Analeigh-Oversized-Gathered/dp/B083R7M9DX/?_encoding=UTF8&pd_rd_w=QVWhN&pf_rd_p=47476175-6275-4746-aaf3-d69468e9907d&pf_rd_r=G7S08RZAY2WK6DF3SG84&pd_rd_r=8ed189e0-ff37-454c-b957-8e52b7f8b5ac&pd_rd_wg=CrqBy&ref_=pd_gw_unk	C:/Users/bryan/Downloads/https___www.amazon.com_/www.amazon.com/Loeffler-Randall-Analeigh-Oversized-Gathered/dp/B083R7M9DX/index3021.html	(from https://www.amazon.com/)
08:23:23	9636/9636	---M--	200	added ('OK')	image/jpeg	date:Sat,%2030%20Nov%202019%2002:18:57%20GMT	https://m.media-amazon.com/images/I/51c2RTS6gdL._AC_SY200_.jpg	C:/Users/bryan/Downloads/https___www.amazon.com_/m.media-amazon.com/images/I/51c2RTS6gdL._AC_SY200_.jpg	(from https://www.amazon.com/)
08:23:25	1298275/1298275	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Oct%202021%2012:23:21%20GMT	https://www.amazon.com/MANU-Atelier-Womens-Cylinder-Vanilla/dp/B082595322/?_encoding=UTF8&pd_rd_w=QVWhN&pf_rd_p=47476175-6275-4746-aaf3-d69468e9907d&pf_rd_r=G7S08RZAY2WK6DF3SG84&pd_rd_r=8ed189e0-ff37-454c-b957-8e52b7f8b5ac&pd_rd_wg=CrqBy&ref_=pd_gw_unk	C:/Users/bryan/Downloads/https___www.amazon.com_/www.amazon.com/MANU-Atelier-Womens-Cylinder-Vanilla/dp/B082595322/index3021.html	(from https://www.amazon.com/)
08:23:28	1296995/1296995	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Oct%202021%2012:23:21%20GMT	https://www.amazon.com/MANU-Atelier-Womens-Cylinder-Reddish/dp/B09GSWZN48/?_encoding=UTF8&pd_rd_w=QVWhN&pf_rd_p=47476175-6275-4746-aaf3-d69468e9907d&pf_rd_r=G7S08RZAY2WK6DF3SG84&pd_rd_r=8ed189e0-ff37-454c-b957-8e52b7f8b5ac&pd_rd_wg=CrqBy&ref_=pd_gw_unk	C:/Users/bryan/Downloads/https___www.amazon.com_/www.amazon.com/MANU-Atelier-Womens-Cylinder-Reddish/dp/B09GSWZN48/index3021.html	(from https://www.amazon.com/)
